id,user_id,image,nickname,sex,first_name,family_name,birthday,email,phone_number,prefecture_id,distinct_id,comment,recipe_count,created_at,updated_at,mail_status,deleted_at
1,1,368710_100002130858178_1160751390_n.jpg,baban,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-06-24 09:05:59 UTC,true,""
2,2,,ma2003co,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
3,3,,じゅんばあ,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
4,4,,春茶丸,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
5,5,,kajinのだんな,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
6,6,,☆まきりん☆,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
7,7,,うまかっぺ ,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
8,8,,makoron,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
9,9,,FarmersK,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
10,10,,てんちょー,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
11,11,,komomoもも,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
12,12,,tinkpi,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
13,13,,JessieMom,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
14,14,,☆RUN☆,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
15,15,,usakohime,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
16,16,,スマイルメグ,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
17,17,,みーみーさんさん,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
18,18,,Keit3,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
19,19,,ゆみらい♪,1,"","","",,,0,0,"",0,2012-05-12 15:27:00 UTC,2012-05-12 15:27:00 UTC,true,""
