id,name,image,amount,created_at,updated_at
1,野菜のおかず,food.jpg,0,2012-05-24 13:48:02 UTC,2012-07-17 12:04:51 UTC
2,お肉のおかず,food.jpg,0,2012-05-25 12:12:41 UTC,2012-07-17 12:05:19 UTC
3,魚介のおかず,food.jpg,0,2012-05-25 12:13:05 UTC,2012-07-17 12:07:18 UTC
4,ごはんもの,food.jpg,0,2012-05-25 12:13:21 UTC,2012-07-17 13:24:50 UTC
5,パスタ・グラタン,food.jpg,0,2012-05-25 12:13:33 UTC,2012-07-17 13:24:59 UTC
6,麺,food.jpg,0,2012-05-25 12:13:44 UTC,2012-07-17 13:25:09 UTC
7,サラダ,food.jpg,0,2012-05-25 12:13:54 UTC,2012-07-17 13:06:04 UTC
8,シチュー・スープ・汁物,food.jpg,0,2012-05-25 12:14:08 UTC,2012-07-17 13:25:24 UTC
9,たまご・大豆加工品,food.jpg,0,2012-05-25 12:14:21 UTC,2012-07-17 13:25:35 UTC
10,海藻・乾物・こんにゃく,food.jpg,0,2012-05-25 12:14:33 UTC,2012-07-17 13:25:43 UTC
11,お弁当,food.jpg,0,2012-05-25 12:14:50 UTC,2012-07-17 13:25:51 UTC
12,おもてなし料理 ,food.jpg,0,2012-05-25 12:15:01 UTC,2012-07-17 13:08:59 UTC
13,お菓子,food.jpg,0,2012-05-25 12:15:11 UTC,2012-07-17 13:25:59 UTC
14,パン,food.jpg,0,2012-05-25 12:15:26 UTC,2012-07-17 13:26:06 UTC
