"id","recipe_draft_id","name","amount","deleted_at","created_at","updated_at"
1,1,"じゃが芋 ","1～2個",,"2012-05-13 14:13:41 UTC","2012-05-13 14:13:41 UTC"
2,1,"キャベツ","1/4個",,"2012-05-13 14:14:00 UTC","2012-05-13 14:14:00 UTC"
3,1,"ベーコン","1袋",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
4,1,"バター ","小さじ1/2",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
5,1,"油","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
6,1,"塩コショウ","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
7,2,"豚もも薄切り","200ｇ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
8,2,"ピーマン","3個～5個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
9,2,"ジャガイモ","中1個 ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
10,2,"★しょうゆ ","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
11,2,"★酒","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
12,2,"★サラダ油 ","小1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
13,2,"★片栗粉","小2",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
14,2,"◎しょうゆ ","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
15,2,"◎酒（紹興酒）","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
16,2,"◎さとう ","小1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
17,2,"◎オイスターソース ","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
18,2,"◎鶏ガラスープの素 ","小1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
19,2,"ごま油","大1",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
20,3,"じゃがいも","４個",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
21,3,"片栗粉","大匙２",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
22,3,"青のり","好きなだけ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
23,3,"塩","適宜",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
24,4,"じゃがいも ","２つ",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
25,4,"唐辛子 ","５本",,"2012-05-13 14:14:22 UTC","2012-05-13 14:14:22 UTC"
